game_Id,Game,Home,Away,Date,Time,Win,Goals
1,Qatar vs. Ecuador,Qatar,Ecuador,"Sunday, Nov. 20",11 a.m. (EST),3,2
2,England vs. Iran,England,Iran,"Monday, Nov. 21",8 a.m. (EST),1,8
3,Senegal vs. Netherlands,Senegal,Netherlands,"Monday, Nov. 21",11 a.m. (EST),3,2
4,United States vs. Wales,United States,Wales,"Monday, Nov. 21",2 p.m. (EST),2,2
5,Argentina vs. Saudi Arabia,Argentina,Saudi Arabia,"Tuesday, Nov. 22",5 a.m. (EST),3,3
6,Denmark vs. Tunisia,Denmark,Tunisia,"Tuesday, Nov. 22",8 a.m. (EST),2,0
7,Mexico vs. Poland,Mexico,Poland,"Tuesday, Nov. 22",11 a.m. (EST),2,0
8,France vs. Australia,France,Australia,"Tuesday, Nov. 22",2 p.m. (EST),1,5
9,Morocco vs. Croatia,Morocco,Croatia,"Wednesday, Nov. 23",5 a.m. (EST),2,0
10,Germany vs. Japan,Germany,Japan,"Wednesday, Nov. 23",8 a.m. (EST),3,3
11,Spain vs. Costa Rica,Spain,Costa Rica,"Wednesday, Nov. 23",11 a.m. (EST),1,7
12,Belgium vs. Canada,Belgium,Canada,"Wednesday, Nov. 23",2 p.m. (EST),1,1
13,Switzerland vs. Cameroon,Switzerland,Cameroon,"Thursday, Nov. 24",5 a.m. (EST),1,1
14,Uruguay vs. South Korea,Uruguay,South Korea,"Thursday, Nov. 24",8 a.m. (EST),2,0
15,Portugal vs. Ghana,Portugal,Ghana,"Thursday, Nov. 24",11 a.m. (EST),1,5
16,Brazil vs. Serbia,Brazil,Serbia,"Thursday, Nov. 24",2 p.m. (EST),1,2
17,Wales vs. Iran,Wales,Iran,"Friday, Nov. 25",5 a.m. (EST),3,2
18,Qatar vs. Senegal,Qatar,Senegal,"Friday, Nov. 25",8 a.m. (EST),3,4
19,Netherlands vs. Ecuador,Netherlands,Ecuador,"Friday, Nov. 25",11 a.m. (EST),2,2
20,England vs. United States,England,United States,"Friday, Nov. 25",2 p.m. (EST),2,0
21,Tunisia vs. Australia,Tunisia,Australia,"Saturday, Nov. 26",5 a.m. (EST),3,1
22,Poland vs. Saudi Arabia,Poland,Saudi Arabia,"Saturday, Nov. 26",8 a.m. (EST),1,2
23,France vs. Denmark,France,Denmark,"Saturday, Nov. 26",11 a.m. (EST),1,3
24,Argentina vs. Mexico,Argentina,Mexico,"Saturday, Nov. 26",2 p.m. (EST),1,2
25,Japan vs. Costa Rica,Japan,Costa Rica,"Sunday, Nov. 27",5 a.m. (EST),3,1
26,Belgium vs. Morocco,Belgium,Morocco,"Sunday, Nov. 27",8 a.m. (EST),3,2
27,Croatia vs. Canada,Croatia,Canada,"Sunday, Nov. 27",11 a.m. (EST),,
28,Spain vs. Germany,Spain,Germany,"Sunday, Nov. 27",2 p.m. (EST),,
29,Cameroon vs. Serbia,Cameroon,Serbia,"Monday, Nov. 28",5 a.m. (EST),,
30,South Korea vs. Ghana,South Korea,Ghana,"Monday, Nov. 28",8 a.m (EST),,
31,Brazil vs. Switzerland,Brazil,Switzerland,"Monday, Nov. 28",11 a.m. (EST),,
32,Portugal vs. Uruguay,Portugal,Uruguay,"Monday, Nov. 28",2 p.m. (EST),,
33,Netherlands vs. Qatar,Netherlands,Qatar,"Tuesday, Nov. 29",10 a.m. (EST),,
34,Ecuador vs. Senegal,Ecuador,Senegal,"Tuesday, Nov. 29",10 a.m. (EST),,
35,Wales vs. England,Wales,England,"Tuesday, Nov. 29",2 p.m. (EST),,
36,Iran vs. United States,Iran,United States,"Tuesday, Nov. 29",2 p.m. (EST),,
37,Tunisia vs. France,Tunisia,France,"Wednesday, Nov. 30",10 a.m. (EST),,
38,Australia vs. Denmark,Australia,Denmark,"Wednesday, Nov. 30",10 a.m. (EST),,
39,Poland vs. Argentina,Poland,Argentina,"Wednesday, Nov. 30",2 p.m. (EST),,
40,Saudi Arabia vs. Mexico,Saudi Arabia,Mexico,"Wednesday, Nov. 30",2 p.m. (EST),,
41,Croatia vs. Belgium,Croatia,Belgium,"Thursday, Dec. 1",10 a.m. (EST),,
42,Canada vs. Morocco,Canada,Morocco,"Thursday, Dec. 1",10 a.m. (EST),,
43,Japan vs. Spain,Japan,Spain,"Thursday, Dec. 1",2 p.m. (EST),,
44,Costa Rica vs. Germany,Costa Rica,Germany,"Thursday, Dec. 1",2 p.m. (EST),,
45,South Korea vs. Portugal,South Korea,Portugal,"Friday, Dec. 2",10 a.m. (EST),,
46,Ghana vs. Uruguay,Ghana,Uruguay,"Friday, Dec. 2",10 a.m. (EST),,
47,Cameroon vs. Brazil,Cameroon,Brazil,"Friday, Dec. 2",2 p.m. (EST),,
48,Serbia vs. Switzerland,Serbia,Switzerland,"Friday, Dec. 2",2 p.m. (EST),,
49,Group A- First Place,,,,,,
50,Group A- Second Place,,,,,,
51,Group B- First Place,,,,,,
52,Group B- Second Place,,,,,,
53,Group C- First Place,,,,,,
54,Group C- Second Place,,,,,,
55,Group D- First Place,,,,,,
56,Group D- Second Place,,,,,,
57,Group E- First Place,,,,,,
58,Group E- Second Place,,,,,,
59,Group F- First Place,,,,,,
60,Group F- Second Place,,,,,,
61,Group G- First Place,,,,,,
62,Group G- Second Place,,,,,,
63,Group H- First Place,,,,,,
64,Group H- Second Place,,,,,,
65,Total Number of Goals,,,,,,
