Game,Date, Teams,Winner,Duration, Goals
Round16_Game1,12/03/22,Netherlands vs USA,,,
Round16_Game2,12/03/22,Argentina vs Australia,,,
Round16_Game3,12/05/22,Japan vs Croatia,,,
Round16_Game4,12/05/22,Brazil vs South,,,
Round16_Game5,12/04/22,France vs Poland,,,
Round16_Game6,12/04/22,England vs Senegal,,,
Round16_Game7,12/06/22,Morocco vs Spain,,,
Round16_Game8,12/06/22,Portugal vs Switzerland,,,
QF_Game1,12/09/22,,,,
QF_Game2,12/09/22,,,,
QF_Game3,12/10/22,,,,
QF_Game4,12/10/22,,,,
Semi_Game1,12/13/22,,,,
Semi_Game2,12/14/22,,,,
Final,12/18/22,,,,
ThirdPlace,12/17/22,,,,
